species,site,year,visit,date,count
hl,CU10A,2009,4,20/01/2009,0
hl,CU10A,2009,5,28/02/2009,0
hl,CU10A,2010,1,13/04/2010,0
hl,CU10A,2010,2,14/04/2010,0
hl,CU10A,2010,3,19/10/2010,0
hl,CU10A,2010,4,19/10/2010,0
hl,CU10A,2011,1,23/11/2011,0
hl,CU10A,2012,1,28/01/2012,0
hl,CU10A,2012,2,18/06/2012,0
hl,CU10A,2012,3,5/12/2012,0
hl,CU10A,2013,1,30/04/2013,0
hl,CU10A,2014,1,24/03/2013,0
hl,CU10A,2014,2,8/05/2014,0
hl,CU10A,2014,3,10/04/2014,0
hl,CU10A,2014,4,11/05/2014,0
hl,CU10A,2014,5,9/05/2014,0
hl,CU10A,2015,1,27/05/2015,0
hl,CU10A,2016,1,16/02/2016,0
hl,CU10A,2016,2,15/02/2016,0
hl,CU10A,2021,1,16/10/2021,0
hl,CU10A,2021,2,18/10/2021,0
hl,CU10A,2021,3,8/06/2021,0
hl,CU10A,2021,4,9/06/2021,0
hl,CU12A,2004,1,3/04/2004,2
hl,CU12A,2004,2,13/10/2004,0
hl,CU12A,2005,1,18/05/2005,0
hl,CU12A,2005,2,18/11/2005,1
hl,CU12A,2006,1,18/06/2006,0
hl,CU12A,2006,2,26/06/2006,0
hl,CU12A,2006,3,12/10/2006,0
hl,CU12A,2007,1,25/06/2007,0
hl,CU12A,2007,2,19/10/2007,0
hl,CU12A,2008,1,18/03/2008,0
hl,CU12A,2008,2,23/06/2008,0
hl,CU12A,2008,3,26/10/2008,0
hl,CU12A,2008,4,27/10/2008,0
hl,CU12A,2009,1,16/01/2009,0
hl,CU12A,2009,2,17/01/2009,0
hl,CU12A,2009,3,18/01/2009,0
hl,CU12A,2009,4,19/01/2009,0
hl,CU12A,2009,5,25/06/2009,0
hl,CU12A,2009,6,28/02/2009,0
hl,CU12A,2009,7,31/03/2009,0
hl,CU12A,2010,1,12/04/2010,0
hl,CU12A,2010,2,14/04/2010,0
hl,CU12A,2010,3,16/04/2010,0
hl,CU12A,2010,4,28/05/2010,0
hl,CU12A,2010,5,18/10/2010,0
hl,CU12A,2010,6,19/10/2010,0
hl,CU12A,2010,7,20/10/2010,0
hl,CU12A,2010,8,21/10/2010,0
hl,CU12A,2010,9,17/07/2010,0
hl,CU12A,2011,1,26/11/2011,0
hl,CU12A,2012,1,21/06/2012,0
hl,CU12A,2012,2,6/12/2012,0
hl,CU12A,2012,3,7/12/2012,0
hl,CU12A,2013,1,10/12/2013,1
hl,CU12A,2013,2,1/05/2013,0
